x,y,z,speed,time,theta,longitude,latitude,altitude
197493.5056,2502756.006,101.9,2.436111212,1577503915,1.048070225,114.0576023,22.6047662,101.9
197493.5271,2502756.05,101.9,2.452777863,1577503915,1.048419291,114.0576025,22.6047666,101.9
197493.5271,2502756.05,101.9,2.452777863,1577503915,1.048419291,114.0576025,22.6047666,101.9
197493.5588,2502756.094,101.9,2.452777863,1577503915,1.048768356,114.0576028,22.604767,101.9
197493.5588,2502756.094,101.9,2.452777863,1577503915,1.048768356,114.0576028,22.604767,101.9
197493.58,2502756.127,101.9,2.452777863,1577503915,1.048942889,114.057603,22.6047673,101.9
197493.58,2502756.127,101.9,2.452777863,1577503915,1.048942889,114.057603,22.6047673,101.9
197493.6118,2502756.17,101.91,2.452777863,1577503915,1.049117422,114.0576033,22.6047677,101.91
197493.6118,2502756.17,101.91,2.452777863,1577503915,1.049117422,114.0576033,22.6047677,101.91
197493.6332,2502756.214,101.91,2.466666699,1577503915,1.049466488,114.0576035,22.6047681,101.91
197493.6332,2502756.214,101.91,2.466666699,1577503915,1.049466488,114.0576035,22.6047681,101.91
197493.665,2502756.258,101.91,2.466666699,1577503915,1.049990087,114.0576038,22.6047685,101.91
197493.665,2502756.258,101.91,2.466666699,1577503915,1.049990087,114.0576038,22.6047685,101.91
197493.6864,2502756.302,101.91,2.466666699,1577503915,1.05016462,114.057604,22.6047689,101.91
197493.6864,2502756.302,101.91,2.466666699,1577503915,1.05016462,114.057604,22.6047689,101.91
197493.7181,2502756.346,101.92,2.466666699,1577503915,1.050513686,114.0576043,22.6047693,101.92
197493.7181,2502756.346,101.92,2.466666699,1577503915,1.050513686,114.0576043,22.6047693,101.92
197493.7396,2502756.39,101.92,2.466666699,1577503915,1.050688219,114.0576045,22.6047697,101.92
197493.7396,2502756.39,101.92,2.466666699,1577503915,1.050688219,114.0576045,22.6047697,101.92
197493.761,2502756.433,101.92,2.466666699,1577503915,1.050862752,114.0576047,22.6047701,101.92
197493.761,2502756.433,101.92,2.466666699,1577503915,1.050862752,114.0576047,22.6047701,101.92
197493.7928,2502756.477,101.92,2.466666699,1577503915,1.051037284,114.057605,22.6047705,101.92
197493.7928,2502756.477,101.92,2.466666699,1577503915,1.051037284,114.057605,22.6047705,101.92
197493.8142,2502756.521,101.92,2.466666699,1577503915,1.051211817,114.0576052,22.6047709,101.92
197493.8142,2502756.521,101.92,2.466666699,1577503915,1.051211817,114.0576052,22.6047709,101.92
